13.49,-2.99,1.79
17.32,-4.37,7.24
20.25,-6.59,13.63
19.84,-5.53,13.64
22.47,-2.50,17.67
14.56,1.00,-5.67
13.90,3.06,4.01
6.86,4.12,0.14
4.64,2.48,-6.61
1.87,1.12,-13.04
-9.01,-1.21,-30.38
-9.60,-2.00,-38.95
-0.61,4.23,-19.87
10.94,1.06,-7.36
12.28,2.79,-1.45
14.76,4.23,8.12
23.13,3.38,15.04
37.92,-2.53,22.34
34.33,-0.54,13.08
22.63,8.63,10.75
10.96,11.74,1.84
2.51,9.56,-8.42
-8.31,8.29,-29.12
-18.94,-3.31,-54.27
-8.48,2.71,-25.92
2.90,2.95,-18.95
8.68,8.60,-9.44
19.33,6.92,3.91
25.19,7.41,24.52
52.14,1.41,44.05
42.12,2.00,9.84
24.91,13.12,4.21
5.39,16.27,-1.07
-6.05,10.60,-14.02
-9.05,4.75,-17.43
-12.82,-4.12,-48.77
-3.20,-0.89,-30.50
6.32,2.78,-16.33
12.58,3.66,-7.10
16.66,3.03,2.42
17.72,4.45,20.69
32.91,0.95,33.46
36.07,-0.68,15.25
24.46,6.62,8.05
10.89,10.36,-1.88
3.08,8.34,-5.32
-1.31,4.46,-16.33
-8.09,-0.41,-37.68
-7.99,-0.82,-37.97
0.30,3.80,-18.83
8.31,3.58,-11.78
10.43,7.36,-4.40
15.90,4.77,7.88
20.84,5.23,25.51
43.31,1.18,41.81
35.91,2.59,12.19
19.68,10.89,4.32
4.58,12.78,-0.99
-1.17,8.23,-10.01
-6.85,4.28,-29.53
-7.35,-4.99,-51.68
-1.39,4.39,-22.40
11.03,2.99,-12.38
12.86,7.14,-5.41
15.16,7.29,0.18
23.03,5.84,21.00
38.55,4.81,40.78
37.03,6.17,18.94
25.39,11.85,3.92
11.22,13.29,-0.96
2.71,9.06,-7.21
-1.07,7.38,-13.47
-7.92,-0.99,-51.58
-4.96,-2.80,-38.91
3.01,3.55,-19.57
10.48,5.86,-8.54
15.73,7.14,4.04
21.39,3.17,18.18
26.10,4.32,33.50
38.09,2.07,28.21
30.46,5.14,7.50
13.08,12.57,4.23
-1.13,13.49,-2.21
-13.27,10.43,-29.32
-13.33,-4.04,-56.75
-7.06,5.50,-29.02
7.42,6.85,-15.12
15.59,12.97,-0.05
24.57,8.92,15.32
27.28,10.42,40.26
45.77,7.16,37.25
30.13,11.19,4.64
16.42,11.65,4.08
3.53,10.76,-2.28
-12.55,10.44,-16.21
-13.97,-4.47,-56.08
-10.44,0.27,-30.81
1.41,3.01,-19.94
8.66,7.68,-11.08
19.19,10.58,2.73
22.40,6.45,20.45
23.99,12.19,43.17
36.01,11.46,32.13
25.13,12.06,7.77
9.38,13.13,1.66
-4.47,11.21,-4.10
-11.03,7.32,-23.41
-21.59,-0.35,-72.64
-7.60,2.04,-17.25
5.27,5.92,-12.22
14.90,11.02,-0.42
25.28,6.27,18.06
25.81,9.19,44.18
28.80,11.79,33.21
25.94,10.01,9.62
14.41,9.71,4.33
2.47,8.99,-0.46
-6.32,7.52,-16.88
-16.48,-2.42,-49.36
-14.65,1.66,-23.49
0.05,3.89,-16.63
12.84,5.65,-5.98
19.10,5.29,8.76
24.10,5.56,21.40
31.66,6.00,37.14
32.43,5.85,16.35
22.84,8.19,7.23
12.66,8.61,3.42
2.65,8.66,1.28
-14.20,8.31,-20.79
-35.60,0.93,-55.63
-12.67,2.87,-23.76
0.87,5.71,-15.30
12.26,9.50,-2.52
18.23,9.28,16.49
19.01,8.98,31.32
32.25,10.93,49.22
31.00,14.35,3.79
14.06,12.62,0.79
2.73,7.39,2.28
-4.97,4.96,-5.87
-2.91,0.26,-16.10
-12.18,-4.12,-36.60
-3.46,2.16,-28.98
-9.42,6.35,-16.95
12.84,3.67,4.78
14.95,3.09,7.86
20.77,1.38,31.91
24.18,1.79,34.08
22.64,3.12,16.33
16.45,5.15,9.27
8.84,4.88,3.56
-1.11,5.88,-4.65
-12.36,1.89,-38.81
-17.39,1.42,-38.27
-2.79,3.56,-14.74
11.54,2.78,-5.51
14.86,4.94,5.39
24.82,1.63,18.19
33.80,0.76,34.01
29.37,3.60,15.19
20.66,4.94,3.92
13.25,5.38,3.59
3.29,7.12,0.86
-8.86,8.79,-14.78
-26.77,1.98,-55.76
-15.43,5.86,-25.26
0.01,6.50,-15.34
9.03,7.37,-3.75
14.92,7.53,7.85
26.71,3.69,20.46
41.69,1.95,32.88
33.20,3.20,16.15
22.72,6.30,9.53
13.94,6.48,4.36
3.71,7.14,-2.38
-9.44,7.29,-20.85
-22.48,-0.66,-46.01
-12.18,2.75,-24.18
-1.50,5.24,-12.58
8.22,7.35,-7.50
15.39,10.62,4.62
28.09,5.32,16.68
32.85,6.25,33.43
31.74,7.54,23.76
24.49,8.38,8.35
14.24,8.39,3.01
6.10,7.61,-0.15
-2.92,7.36,-7.69
-9.98,0.01,-38.07
-15.61,-3.67,-43.74
-7.89,3.97,-18.90
5.37,7.40,-9.45
14.68,8.49,1.10
25.83,5.40,18.66
26.40,8.28,39.72
27.64,8.70,23.84
27.22,6.35,7.80
15.31,7.31,4.44
5.87,6.85,0.81
-5.54,6.40,-7.34
-11.27,-0.56,-32.00
-13.31,-3.19,-41.89
-5.39,2.67,-19.70
6.12,4.55,-10.23
13.86,6.48,-1.86
17.27,6.88,10.77
21.31,7.01,25.93
31.48,6.14,35.61
28.72,6.11,13.86
17.51,8.50,6.31
11.09,6.32,2.52
4.86,4.69,-3.44
-7.37,3.50,-15.49
-12.77,-6.32,-43.87
-11.75,-0.70,-27.18
1.90,1.41,-16.45
7.62,6.60,-10.90
14.81,9.53,6.51
23.17,5.92,19.13
30.07,9.55,39.29
31.96,9.74,18.27
23.08,9.72,5.60
10.20,9.33,3.33
2.54,6.24,-2.90
-4.40,2.55,-15.99
-7.59,-5.18,-40.70
-8.55,-1.51,-23.99
4.17,-2.95,-16.04
7.25,1.03,-9.72
12.15,4.13,0.73
15.47,4.35,13.49
22.45,4.13,24.98
28.09,3.11,23.38
25.08,3.43,12.39
17.51,4.97,8.88
12.33,4.75,6.13
5.82,4.66,-1.97
-8.95,4.96,-17.38
-22.70,-7.17,-59.32
-11.16,3.71,-23.07
4.92,3.28,-16.83
12.26,9.89,-2.18
19.32,8.40,13.94
28.42,5.75,30.82
34.89,9.23,37.51
28.20,9.01,8.88
17.63,9.10,3.72
8.68,7.16,1.01
2.69,4.19,-5.92
-7.15,2.51,-21.62
-15.86,-7.93,-42.55
-9.77,-1.01,-24.40
1.33,1.97,-16.84
6.64,7.59,-9.96
14.40,11.74,6.23
26.87,8.88,24.74
40.06,7.13,36.66
33.29,7.48,10.16
18.58,9.99,4.78
9.29,8.52,3.54
3.67,5.63,-2.72
-8.26,2.16,-18.06
-16.29,-7.77,-43.91
-11.76,-0.13,-25.47
4.25,1.30,-18.90
12.15,6.06,-6.93
15.32,8.09,9.97
22.74,7.11,23.94
31.93,6.77,28.78
30.83,5.82,11.16
23.92,7.56,9.38
14.33,8.74,5.49
6.67,7.00,-2.87
-3.90,3.25,-14.59
-20.10,-6.04,-43.63
-18.31,-0.81,-29.90
-2.59,4.40,-18.89
10.60,9.09,-10.71
20.10,10.96,6.33
26.76,6.75,23.69
33.20,9.16,35.96
28.03,8.15,10.86
23.04,6.48,4.07
12.50,7.13,4.60
3.31,6.76,-1.16
-1.66,3.38,-9.47
-11.20,-1.27,-28.87
-11.56,-5.79,-39.15
-6.03,3.47,-21.29
7.56,6.24,-12.79
17.09,8.72,-3.03
21.80,5.09,13.22
28.46,8.45,35.63
29.16,10.94,27.10
27.75,7.30,6.67
18.71,7.64,5.35
8.27,8.41,2.20
0.33,5.61,-6.15
-10.53,0.75,-26.48
-14.65,-7.51,-43.97
-5.72,0.29,-20.86
4.54,3.14,-17.01
11.30,9.79,-3.44
18.57,9.56,12.29
29.40,7.69,24.07
31.59,9.82,28.77
26.99,7.45,6.94
18.54,7.45,3.81
10.54,7.66,3.45
0.45,6.58,-2.94
-5.30,4.01,-10.82
-12.33,-4.76,-38.33
-12.86,-4.57,-39.90
-2.89,5.42,-21.99
10.65,8.80,-12.31
15.19,10.74,10.10
27.19,6.83,20.43
34.92,8.98,32.63
28.94,9.13,13.19
20.66,9.86,5.83
16.03,8.31,4.69
11.41,6.90,-1.60
3.80,4.91,-6.96
-7.60,2.58,-20.03
-18.51,-8.11,-47.75
-11.60,-0.30,-22.56
1.58,2.90,-13.96
8.67,8.60,-6.42
17.07,9.09,5.23
30.66,7.16,20.64
37.20,12.27,40.12
28.88,11.10,10.80
19.91,10.65,4.63
12.56,9.71,2.85
1.85,7.69,-3.19
-12.01,5.74,-14.54
-21.69,-7.49,-49.33
-11.91,-0.80,-28.96
2.95,2.90,-17.99
10.31,9.01,-8.88
17.90,10.92,4.02
28.95,9.27,17.21
35.40,13.04,39.58
30.97,12.96,14.19
23.47,10.64,4.36
15.31,9.81,4.84
4.64,8.84,-0.94
-7.27,6.53,-12.50
-24.89,-7.81,-51.52
-13.55,-2.06,-25.76
2.62,-0.45,-16.70
9.41,5.95,-7.27
15.38,9.75,3.45
21.10,8.52,15.82
30.79,9.74,34.98
31.60,10.41,16.53
24.69,9.47,3.74
15.29,8.24,1.88
6.79,5.66,0.13
-7.01,4.68,-8.55
-30.24,-4.22,-39.96
-19.21,-1.34,-30.15
3.68,1.21,-14.79
9.28,6.75,-9.88
15.35,12.67,-1.70
26.01,7.49,10.77
26.39,14.57,36.88
33.02,19.57,31.36
21.50,14.31,1.51
15.45,12.05,-0.35
5.89,8.43,-2.17
-4.98,2.44,-7.60
-11.59,-5.23,-20.19
-15.13,-11.19,-31.26
-7.39,-4.50,-19.35
0.95,1.20,-18.30
9.32,7.21,-6.56
16.07,10.90,5.53
31.23,12.01,16.68
34.48,13.55,23.56
