1.89,-5.04,2.61
2.00,-5.25,-1.25
3.16,-6.81,-1.77
2.39,-6.30,-3.88
0.86,-6.37,-6.90
-1.96,-5.41,-7.89
0.98,-5.96,-9.83
0.79,-5.94,-8.50
0.71,-5.60,-10.85
0.06,-5.58,-11.18
0.69,-5.46,-14.55
1.07,-5.45,-13.69
0.48,-4.68,-17.45
0.13,-5.18,-16.00
-0.33,-5.36,-13.18
1.35,-6.21,-9.51
1.26,-6.83,-8.22
1.56,-7.01,-8.23
1.75,-6.75,-6.05
2.66,-7.35,-5.37
2.98,-7.18,-4.37
3.63,-7.61,-2.95
3.90,-6.94,-1.42
3.27,-5.75,-0.99
3.76,-5.03,-0.43
4.63,-4.37,2.64
6.14,-4.24,4.25
7.97,-4.87,5.67
8.27,-4.09,6.70
8.40,-3.46,8.54
8.96,-3.45,9.53
10.53,-3.96,9.40
11.79,-4.84,8.43
12.03,-4.57,9.48
8.75,-2.25,8.77
7.33,-2.76,6.56
7.86,-3.56,6.27
8.42,-4.56,4.49
7.37,-5.58,3.01
5.34,-5.03,1.57
3.98,-5.35,0.40
2.57,-5.25,-0.72
2.88,-6.56,-2.89
3.12,-7.16,-3.54
2.10,-6.72,-3.87
1.10,-6.61,-4.45
0.28,-6.66,-6.47
-0.96,-6.26,-8.68
-0.72,-6.46,-9.25
-0.16,-6.75,-11.64
0.13,-6.63,-13.93
-0.33,-6.97,-17.20
-0.09,-7.31,-16.72
0.97,-7.71,-12.63
1.68,-8.37,-9.65
0.74,-6.99,-8.81
1.51,-7.20,-7.41
2.51,-7.18,-4.57
2.63,-6.98,-3.70
2.46,-6.35,-4.25
3.35,-5.62,-2.60
4.80,-5.34,0.23
5.32,-4.05,2.93
6.02,-4.75,2.12
7.15,-4.53,3.89
7.78,-3.55,7.34
9.14,-3.97,9.17
9.86,-4.49,8.88
9.56,-4.30,8.14
9.53,-4.10,8.26
10.52,-4.66,8.33
11.68,-5.78,7.84
10.07,-4.79,6.76
7.90,-4.12,5.43
5.90,-4.00,3.50
5.14,-4.56,2.16
6.17,-6.79,0.35
5.87,-6.78,-0.03
4.27,-5.90,-0.79
3.01,-5.69,-1.81
2.30,-6.23,-4.04
2.54,-7.06,-4.53
1.87,-7.01,-5.63
1.02,-6.93,-6.47
0.06,-6.48,-7.23
-0.74,-5.99,-7.75
-1.54,-6.17,-10.07
-1.03,-6.65,-11.22
-1.66,-5.94,-11.73
-3.18,-5.68,-14.66
-3.86,-5.37,-16.18
-4.13,-5.12,-16.78
-3.95,-5.77,-18.68
-2.18,-5.23,-13.55
-1.12,-5.03,-9.86
-0.85,-3.85,-6.29
-0.27,-3.31,-4.82
1.79,-2.41,-1.99
4.79,-2.54,0.40
6.51,-1.89,2.94
7.11,-1.64,4.23
9.46,-2.66,6.08
11.16,-2.93,9.56
11.23,-3.67,8.57
10.76,-3.54,7.67
11.44,-3.88,7.76
13.40,-4.57,8.96
11.99,-2.91,10.24
11.17,-2.62,9.15
10.64,-2.88,6.98
9.96,-3.21,5.77
8.02,-3.11,3.31
5.66,-3.63,-0.11
4.02,-3.78,-1.19
2.60,-3.28,-1.69
0.30,-1.59,-3.51
-0.92,-3.71,-9.06
-2.00,-4.50,-11.05
-1.38,-4.34,-9.76
-1.65,-4.17,-10.06
-2.66,-3.88,-10.76
-3.59,-3.90,-12.55
-3.93,-3.77,-14.23
-1.98,-4.48,-15.03
-1.29,-4.51,-15.46
-3.57,-3.78,-17.57
-3.74,-4.07,-20.56
-0.68,-4.52,-15.85
-0.39,-3.67,-11.37
0.85,-3.86,-6.36
3.91,-7.35,-7.75
1.57,-3.34,-3.55
1.08,-0.41,-0.40
4.07,-0.16,3.34
6.85,-0.97,5.76
9.28,-2.52,6.62
11.43,-4.37,7.45
11.48,-4.04,8.77
12.26,-3.93,9.66
11.60,-3.62,8.27
12.52,-4.09,8.84
13.01,-3.88,9.40
12.69,-3.57,8.60
10.27,-1.88,7.56
6.33,0.14,5.92
3.75,-0.63,1.80
5.49,-4.74,-2.63
7.43,-6.02,-2.43
3.26,-2.75,-2.90
-0.16,-2.87,-7.19
-3.62,-2.68,-10.73
-3.81,-3.44,-12.65
-2.95,-3.28,-12.22
-3.16,-3.00,-13.82
-3.20,-3.20,-15.53
-2.22,-3.93,-15.98
-1.52,-4.36,-15.22
-1.62,-4.57,-15.33
-0.93,-5.35,-16.51
0.64,-5.46,-10.87
-0.52,-5.49,-12.01
0.70,-6.00,-9.86
1.20,-5.61,-7.62
0.75,-4.56,-4.87
1.10,-4.82,-4.12
4.22,-5.67,-3.06
3.55,-4.32,-2.03
4.01,-2.37,1.78
5.20,-1.56,5.06
7.26,-1.53,7.39
11.38,-4.49,8.16
12.03,-5.09,8.32
13.75,-5.64,10.23
16.49,-5.92,12.51
16.10,-4.72,11.66
10.14,-1.35,9.29
7.04,0.03,6.57
6.03,-1.73,3.86
5.76,-3.95,0.43
6.54,-5.43,-0.22
3.68,-2.50,-0.29
1.74,-2.17,-3.22
0.23,-3.51,-8.02
-1.05,-4.76,-11.71
-2.03,-4.38,-11.49
-2.66,-3.54,-10.69
-3.26,-3.23,-11.53
-2.85,-3.66,-14.16
-3.24,-3.74,-15.97
-3.83,-3.68,-17.18
-3.25,-4.31,-17.35
-1.87,-5.34,-17.20
-1.41,-5.68,-14.07
-1.26,-4.34,-10.00
-0.45,-4.71,-8.74
1.89,-4.99,-5.40
2.72,-4.10,-3.17
3.73,-3.62,-1.08
4.03,-1.94,1.84
4.91,-2.12,4.27
8.46,-3.74,6.28
9.45,-4.55,6.54
9.91,-5.12,5.73
10.77,-4.67,7.92
12.57,-4.48,11.06
15.24,-6.31,10.44
14.53,-5.41,9.65
10.13,-1.80,9.05
6.70,-0.54,6.37
6.43,-3.25,2.81
6.99,-5.27,-0.03
6.00,-4.76,-0.91
3.50,-4.25,-3.04
1.52,-4.25,-5.45
0.06,-4.13,-6.68
-1.03,-4.30,-8.87
-1.31,-4.89,-11.01
-2.15,-4.36,-11.09
-2.68,-3.95,-11.56
-3.49,-3.85,-12.72
-3.04,-4.09,-13.36
-2.15,-4.65,-13.75
-2.73,-4.25,-14.21
-3.30,-4.58,-16.12
-4.06,-4.68,-18.47
-2.71,-5.28,-17.67
-1.02,-4.49,-10.72
0.46,-5.28,-7.66
1.26,-6.27,-7.93
0.37,-5.05,-7.55
1.96,-4.00,-4.77
3.65,-2.53,1.00
4.79,-2.12,4.23
6.19,-2.87,4.64
6.74,-4.18,2.37
8.50,-3.80,5.31
9.68,-3.53,7.90
11.83,-4.69,9.23
13.17,-5.57,9.24
14.76,-6.01,10.14
13.46,-4.13,10.75
10.95,-2.51,8.91
10.10,-3.86,5.43
7.84,-3.45,4.85
5.77,-3.71,2.38
4.87,-4.09,0.58
3.46,-4.31,-1.66
1.93,-3.83,-2.94
0.77,-3.97,-5.26
-1.24,-3.83,-8.18
-1.46,-4.79,-10.10
-1.89,-4.19,-9.37
-2.64,-4.02,-10.46
-4.77,-3.35,-12.34
-3.62,-4.39,-14.05
-4.47,-4.25,-16.82
-5.06,-4.59,-19.15
-4.65,-5.28,-19.07
-3.27,-5.89,-16.76
-3.68,-4.71,-13.35
-2.85,-3.91,-9.80
-1.14,-3.92,-7.15
0.72,-3.59,-3.92
2.90,-3.57,-1.78
4.45,-3.50,-0.57
4.66,-2.26,1.28
5.36,-1.21,3.65
7.27,-1.66,4.89
8.80,-2.31,5.37
11.21,-4.02,6.33
14.06,-5.61,9.19
17.76,-7.79,9.86
18.14,-6.59,10.08
